Expected Task Name,Utterance,Type of Utterance
enrol my child in a MOE school,how can i get admission into primary 2,Positive
enrol my child in a MOE school,returning singaporean admission,Positive
enrol my child in a MOE school,How to register a non singapore citizen in singapore preunivdersity,Positive
enrol my child in a MOE school,My daughter study p4 next year p5,Positive
enrol my child in a MOE school,I have 2 children who are currently studying in Perth We are planning to go back Singapore this year My second daughter is currently in Year 11 and my son is in Year 9,Positive
enrol my child in a MOE school,age requirement for p3,Positive
enrol my child in a MOE school,age for primary 2,Positive
enrol my child in a MOE school,returning Singaporean admission to primary 2,Positive
enrol my child in a MOE school,admission test,Positive
enrol my child in a MOE school,I am a returning singaporean,Positive
enrol my child in a MOE school,how to apply for JC,Positive
enrol my child in a MOE school,Hi I would like to enroll my children age 7 was born in 2012 and 92010 in to the local school Our PR are granted last week We have reentry permits,Positive
enrol my child in a MOE school,hi Jamie may i know how to apply for returning singaporeams teenagers Do we apply directly with the school and students need to take a placement test,Positive
enrol my child in a MOE school,hi jamie my son finished primary year 1 in acs school in jakarta this year With hubbys job opportunity in Spore we are coming back this month How do i enroll my son,Positive
enrol my child in a MOE school,Hi Jamie my sister is not a Singapore Citizen but I am a Singapore Permanent Residence My sister is 17 years old and looking to study in Singapore What the procedures,Positive
enrol my child in a MOE school,For international student what is the school for primary school,Positive
enrol my child in a MOE school,Hi Jamie...heard that a LTVP child can get admission in local schools with the help of a letter from Ministry of Singapore. Is that true?,Positive
enrol my child in a MOE school,Can i apply my 2 kids in the same school,Positive
enrol my child in a MOE school,2019 admission,Positive
enrol my child in a MOE school,Hi would like to know procedure to Malaysian child to study in Singapore,Positive
enrol my child in a MOE school,procedure for p5 admission,Positive
enrol my child in a MOE school,Hi there my son was born on 24 April 2012 I would like to register for P1 in Jan 2019 Is this possible,Positive
enrol my child in a MOE school,I plan to transfer my daughter from Malaysia primary school to Singapore School,Positive
enrol my child in a MOE school,When is the admission for Millenia Institute,Positive
enrol my child in a MOE school,my son is in 2nd class in india can I apply for 2nd class admission in Singapore,Positive
enrol my child in a MOE school,I WANT TO REGISTER MY DAUGHTER FOR P2 IN LOCAL SCHOOL AND SHE IS LONG TERM PASS HOLDER,Positive
enrol my child in a MOE school,how to seek admission,Positive
enrol my child in a MOE school,I want to join in PRI,Positive
enrol my child in a MOE school,i want to enquire about P4 admissions,Positive
enrol my child in a MOE school,Hi JamieMy Son is 15 im keen to enrol him into a Local school can you assist,Positive
enrol my child in a MOE school,How to transfer from international school to primary 2,Positive
enrol my child in a MOE school,when SPF IS announce to enrol school,Positive
enrol my child in a MOE school,Can she enrol for Sec 1 next year Do you have an entrance exam,Positive
enrol my child in a MOE school,I am asking about secondary school admission for returning singaporean,Positive
enrol my child in a MOE school,I would like to know about AEIS examination seeking admission for P1 or P2,Positive
enrol my child in a MOE school,What is process of admission for Secondary 3?,Positive
enrol my child in a MOE school,Please let me know more about how to register my child into a Primary School I am a Singaporean working overseas and will be returning in Feb 2019,Positive
enrol my child in a MOE school,how will he be admitted to S1 when he comes back,Positive
